"Server","Проект / сервис","Владелец","Чат / группа (reddy)"
"sc-ams1-cons-test-mongo-2","Consultant","нет инфо!","Consultant / Админство"
"sc-ams1-cons-test-mongo-3","Consultant","нет инфо!","Consultant / Админство"
"sc-ams1-cons-test-vm-mongo-1","Consultant","нет инфо!","Consultant / Админство"
"sc-ams1-cons-test-vm-mongo-2","Consultant","нет инфо!","Consultant / Админство"
"sc-ams1-cons-test-vm-mongo-3","Consultant","нет инфо!","Consultant / Админство"
"sc-ams2-btmk-prod-mongo-1","MoneyGO / BTMK","нет инфо! Евгений Ковальцов?","MoneyGo, web+admin"
"sc-ams2-btmk-prod-mongo-2","MoneyGO / BTMK","нет инфо! Евгений Ковальцов?","MoneyGo, web+admin"
"sc-ams2-btmk-prod-mongo-3","MoneyGO / BTMK","нет инфо! Евгений Ковальцов?","MoneyGo, web+admin"
"sc-ams2-btmk-dev-mongo-1","MoneyGO / BTMK","нет инфо! Евгений Ковальцов?","MoneyGo, web+admin"
"sc-ams2-btmk-dev-mongo-2","MoneyGO / BTMK","нет инфо! Евгений Ковальцов?","MoneyGo, web+admin"
"sc-ams2-btmk-dev-mongo-3","MoneyGO / BTMK","нет инфо! Евгений Ковальцов?","MoneyGo, web+admin"
"sc-ams2-mgo-prod-notification-mongo-1","MoneyGO / BTMK","нет инфо!","MoneyGo, web+admin"
"sc-ams2-mgo-prod-notification-mongo-2","MoneyGO / BTMK","нет инфо!","MoneyGo, web+admin"
"sc-ams2-mgo-prod-notification-mongo-3","MoneyGO / BTMK","нет инфо!","MoneyGo, web+admin"
"sc-ams2-mgo-stage-mongo-1","MoneyGO / BTMK","нет инфо!","MoneyGo, web+admin"
"sc-ams2-mgo-stage-mongo-2","MoneyGO / BTMK","нет инфо!","MoneyGo, web+admin"
"sc-ams2-mgo-stage-mongo-3","MoneyGO / BTMK","нет инфо!","MoneyGo, web+admin"
"ams-mongophp1","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"ams-mongophp2","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"ams-mongophp3","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"ams-mongophp4","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"ams-mongophp5","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"ams-mongophp6","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"ams-mongophp7","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"ams-mongophp8","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"sc-ams99-x-prod-mweb-mongo-1","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"sc-ams99-x-prod-mweb-mongo-2","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
"sc-ams99-x-prod-mweb-mongo-3","PHP","нет инфо!  Евгений Юркин?","Админство веб-проектов"
